k,f,grad_norm,t_k
428,-132.1733924061758,0.12172161033884546,1.0
429,-132.17344361997007,0.12165460525602799,1.0
430,-132.17350118239375,0.12091818315908183,1.0
431,-132.17356840266865,0.11984266616974915,1.0
432,-132.173606706596,0.11889594364188,1.0
433,-132.1736765911792,0.1184775819838418,1.0
434,-132.17375518390656,0.11610478476913429,1.0
435,-132.17383175391979,0.11413481157509996,1.0
436,-132.1738877995331,0.11335069456125707,1.0
437,-132.1739709473238,0.11117963317116603,1.0
438,-132.1740157546724,0.11094224196224332,1.0
439,-132.1740563617335,0.11011975914371508,1.0
440,-132.17413125693477,0.10889922252087735,1.0
441,-132.1741927842695,0.10764671080242685,1.0
442,-132.17423926390313,0.10692328553579475,1.0
443,-132.17429439289575,0.10631352459415044,1.0
444,-132.1743670661351,0.1052478269285828,1.0
445,-132.17440984501167,0.10406183562565478,1.0
446,-132.17445495109934,0.10336224724649111,1.0
447,-132.17451036198565,0.10253595580586927,1.0
448,-132.1745588864407,0.1009286341229704,1.0
449,-132.1746137179291,0.09984700649153147,1.0
450,-132.17465148227112,0.09929587090103031,1.0
451,-132.17471362141077,0.09794163356376677,1.0
452,-132.17475914181318,0.09676752652983649,1.0
453,-132.17481027775472,0.09559493674201006,1.0
454,-132.17484576583715,0.0948790512799234,1.0
455,-132.17488742263325,0.09365014301094504,1.0
456,-132.1749182669098,0.09317735478148707,1.0
457,-132.17496335274808,0.09265664309119614,1.0
458,-132.17500785096925,0.09177406678087183,1.0
459,-132.17504624491457,0.09115896901132124,1.0
460,-132.17509506396237,0.09010879734431972,1.0
461,-132.17512972751786,0.08932999100813517,1.0
462,-132.1751829935032,0.08795819334985273,1.0
463,-132.17521320359484,0.08683242615321154,1.0
464,-132.17524683550482,0.08552301848717639,1.0
465,-132.1752690045766,0.08513956133813934,1.0
466,-132.17529906517686,0.08470692805216899,1.0
467,-132.17533225471604,0.08364891380724192,1.0
468,-132.17536429676574,0.08252193361390095,1.0
469,-132.17541547015577,0.08104251289341192,1.0
470,-132.1754467672472,0.0804532194419583,1.0
471,-132.17547423703553,0.07951187734503844,1.0
472,-132.1755112395047,0.07888726665606172,1.0
473,-132.1755359506625,0.07840643161991837,1.0
474,-132.17556239804568,0.07764992256003753,1.0
475,-132.17560078383858,0.0767269897131853,1.0
476,-132.17562397981388,0.07600928182664467,1.0
477,-132.17564665637602,0.07510117779224085,1.0
478,-132.1756799853171,0.07391834869518492,1.0
479,-132.17570585619603,0.07343704477103538,1.0
480,-132.17573383239693,0.07261569469116068,1.0
481,-132.17575560169922,0.07178374981866531,1.0
482,-132.17576958945943,0.07081517136017551,1.0
483,-132.17579605742316,0.06968925511569668,1.0
484,-132.17582438141434,0.06841783441004247,1.0
485,-132.1758515475112,0.06769805853623326,1.0
486,-132.17586394447247,0.06732828671492044,1.0
487,-132.1758875148635,0.06660367371952786,1.0
488,-132.17591459404932,0.0654014436755796,1.0
489,-132.17593737516427,0.06444348207030458,1.0
490,-132.17595987290335,0.06406407220551415,1.0
491,-132.17598071485398,0.0636442162898962,1.0
492,-132.17599655174158,0.0632213630560813,1.0
493,-132.17601740715847,0.06204773429226527,1.0
494,-132.17604029084842,0.06139169379597271,1.0
495,-132.1760600636815,0.060928143582657454,1.0
496,-132.17607569082412,0.0601621918841162,1.0
497,-132.17609333145788,0.05902823111216537,1.0
498,-132.1761068693546,0.05823976061021687,1.0
499,-132.17612016331623,0.057754485989779634,1.0
500,-132.1761311663163,0.057262759565291796,1.0
501,-132.1761516122176,0.05681066061857065,1.0
502,-132.1761682986326,0.0565696191194936,1.0
503,-132.17618211729385,0.056162372261216405,1.0
504,-132.17620336547628,0.05546182144399352,1.0
505,-132.17621311559898,0.05478553219125915,1.0
506,-132.17622592022673,0.0544367339768742,1.0
507,-132.17624118712484,0.05370754304782763,1.0
508,-132.1762539388486,0.05322111328450157,1.0
509,-132.17626712613483,0.052481726682314246,1.0
510,-132.1762772877689,0.05215120781902902,1.0
511,-132.1762847800847,0.05184546827140925,1.0
512,-132.17629585335789,0.05121069616102413,1.0
513,-132.17631275395036,0.05064414496209671,1.0
514,-132.1763216587451,0.050169903364745944,1.0
515,-132.17633405313026,0.04984856777517705,1.0
516,-132.17635003132062,0.048880514535898485,1.0
517,-132.1763579988234,0.0488240864170263,1.0
518,-132.17636696015884,0.04821559764606611,1.0
519,-132.17638010254143,0.047711290069016206,1.0
520,-132.17639034084957,0.04727778312618899,1.0
521,-132.17640216024188,0.0465757511736579,1.0
522,-132.1764118216347,0.04599951703035164,1.0
523,-132.17641967513325,0.04556691356432697,1.0
