k,f,grad_norm,x_norm,alpha,subspace_dim_s,inner_dim_r,L,rs_reg,rk_reg,rk_iters,rk_residual
189,6.624041231302163,7.1847947339734315,0.9417428228185709,0.125,7,4,10,1e-08,1e-08,10,4856777.671490433
190,6.621407506889658,6.2948380974280695,0.9420172073788087,0.25,7,4,10,1e-08,1e-08,10,27755531.247534484
191,6.618642028883072,4.8004349708965774,0.9396897860953028,0.015625,7,4,10,1e-08,1e-08,1,554.2696559001581
192,6.617824213792748,4.74963071419589,0.9400964822136932,0.0009765625,7,4,10,1e-08,1e-08,10,49018.502658368765
193,6.61745232806145,4.72922042016581,0.9400619250465748,0.001953125,7,4,10,1e-08,1e-08,10,701453.3266343982
194,6.5964236044048805,3.1523293663663146,0.9449513351472368,0.00390625,7,4,10,1e-08,1e-08,10,3866560.3519192412
195,6.579651681459206,4.514692326654001,0.9512644717791705,0.00390625,7,4,10,1e-08,1e-08,10,12781888.585767256
196,6.5796514630056055,4.499171913161526,0.9512363795451122,0.001953125,7,4,10,1e-08,1e-08,2,575.8621192600004
197,6.561323924698724,3.0813530288054447,0.9562009140667216,0.00390625,7,4,10,1e-08,1e-08,10,3743.307496663087
198,6.546143555650478,4.593314175955808,0.9628482081739428,0.001953125,7,4,10,1e-08,1e-08,10,863424.2311782015
199,6.527725939471691,3.163448646574212,0.9679341314993661,0.00390625,7,4,10,1e-08,1e-08,10,705279.7436299456
200,6.5139622276259,4.894502765182,0.9746496245327669,0.03125,7,4,10,1e-08,1e-08,8,607.7905120529117
201,6.513955350960998,4.739285409855749,0.9743478203071461,0.001953125,7,4,10,1e-08,1e-08,10,230.68007328710553
202,6.4952033165081895,3.2746108922139823,0.979473977052539,0.00390625,7,4,10,1e-08,1e-08,10,14604.423052188044
203,6.483284456608391,5.273180718515634,0.9861318735720525,0.001953125,7,4,10,1e-08,1e-08,10,26965.633298599856
204,6.462578706436245,3.5753069099285835,0.9913983438404769,0.00390625,7,4,10,1e-08,1e-08,10,714610.1708649884
205,6.45568060935363,6.179462131020834,0.9978245587873918,0.25,7,4,10,1e-08,1e-08,10,1725645.013011524
206,6.453262302103518,4.768099068713487,0.996091514769516,0.001953125,7,4,10,1e-08,1e-08,2,597.6574134934978
207,6.43348211540052,3.3977294052529707,1.0012836075370906,0.00390625,7,4,10,1e-08,1e-08,10,1401.2390706132503
208,6.421826494145371,5.563407816915337,1.0080844537179372,0.03125,7,4,10,1e-08,1e-08,10,2294.8987892644955
209,6.421647912514414,5.370702581018403,1.0076311159097076,0.03125,7,4,10,1e-08,1e-08,10,48959.17420119774
210,6.421561349086182,5.202044635058236,1.0071635984553844,0.001953125,7,4,10,1e-08,1e-08,10,190608.82624959992
211,6.401785127485781,3.6602267404255455,1.0124468932957438,0.00390625,7,4,10,1e-08,1e-08,10,1443398.735201297
212,6.397118273786639,6.570723256570816,1.0189959432082676,0.25,7,4,10,1e-08,1e-08,10,22625272.49255168
213,6.395408731652886,4.90280986770084,1.0168710501148275,0.001953125,7,4,10,1e-08,1e-08,3,616.9703351424625
214,6.375843263446173,3.55637328362401,1.0218766066244556,0.00390625,7,4,10,1e-08,1e-08,10,164.07008457209074
215,6.368016386930124,6.20745561292624,1.0283246344487875,0.0625,7,4,10,1e-08,1e-08,10,316.5414583606036
216,6.367775500577221,5.794170379539567,1.0274889702020344,0.001953125,7,4,10,1e-08,1e-08,10,17327.21862992694
217,6.3459166810036285,4.106740177774635,1.0328258764713276,0.001953125,7,4,10,1e-08,1e-08,10,48012.971909240005
218,6.330477932866887,3.2094662945799564,1.0358843652425855,0.00390625,7,4,10,1e-08,1e-08,10,2672132.0715728677
219,6.318964732112699,5.416338422410205,1.0448934994127708,0.001953125,7,4,10,1e-08,1e-08,1,638.5919924234139
